,PC1_loading,PC2_loading
33.77777777777778,-3.569427e-05,1.6073981e-06
33.888888888888886,-2.28136e-05,1.38948035e-05
34.0,-2.1080561e-05,8.538819e-06
34.11111111111111,-2.3384386e-05,-1.616261e-05
34.22222222222222,-3.4271117e-05,-1.7365417e-05
34.33333333333333,-1.4209543e-05,2.2668473e-06
34.44444444444444,-1.1205046e-05,-6.1825713e-06
34.55555555555556,-1.8238152e-05,2.614871e-06
34.666666666666664,-1.4331846e-05,5.1463007e-06
34.77777777777778,-2.2050695e-05,-9.6863005e-06
34.888888888888886,-1.2936304e-05,5.7882726e-06
35.0,-2.2195603e-05,3.259704e-07
35.11111111111111,-2.5698775e-05,-2.5511961e-05
35.22222222222222,-2.2310744e-05,1.8768842e-05
35.33333333333333,-2.0692507e-05,3.6038293e-06
35.44444444444444,-2.4025785e-05,-7.981729e-06
35.55555555555556,-1.9291396e-05,-1.6039723e-05
35.666666666666664,-1.681178e-05,-2.7266326e-06
35.77777777777778,-2.1723334e-05,1.5061056e-05
35.888888888888886,-1.428417e-05,-1.9963643e-06
36.0,-1.9135945e-05,-7.0302503e-06
36.11111111111111,-2.5099582e-05,1.2679888e-06
36.22222222222222,-1.6165319e-05,1.9179e-05
36.33333333333333,-3.2438755e-05,-8.507119e-06
36.44444444444444,-2.676633e-05,-1.4729419e-05
36.55555555555555,-3.17463e-05,-1.6102094e-05
36.666666666666664,-1.7953707e-05,1.46909615e-05
36.77777777777778,-1.5309828e-05,1.5791931e-05
36.888888888888886,-1.05207355e-05,8.771872e-06
37.0,-1.7477762e-05,3.762909e-06
37.11111111111111,-1.85976e-05,-2.2678334e-05
37.22222222222222,-1.38463365e-05,5.5583364e-06
37.33333333333333,-1.2975899e-05,1.3059895e-06
37.44444444444444,-2.5433737e-05,3.87048e-06
37.55555555555555,-2.5683157e-05,-9.989026e-06
37.666666666666664,-1.32627465e-05,1.0783395e-05
37.77777777777778,-1.9473613e-05,1.1826186e-05
37.888888888888886,-1.8682487e-05,7.347141e-07
38.0,-1.4425279e-05,2.2629474e-06
38.11111111111111,-1.9047455e-05,1.0037561e-05
38.22222222222222,-1.7613058e-05,3.063337e-07
38.33333333333333,-1.367532e-05,1.2763382e-05
38.44444444444444,-1.6154072e-05,-8.651239e-06
38.55555555555555,-2.6536141e-05,-1.3146833e-05
38.666666666666664,-1.917855e-05,2.3138712e-06
38.77777777777778,-2.2580964e-05,-1.4103315e-06
38.888888888888886,-8.157353e-06,1.6116484e-05
39.0,-7.2979997e-06,5.804383e-06
39.11111111111111,-1.5874612e-05,2.3705777e-06
39.22222222222222,-1.954575e-05,3.9035893e-07
39.33333333333333,-1.3305945e-05,2.9492705e-06
39.44444444444444,-1.8428256e-05,1.092888e-05
39.55555555555555,-1.0702506e-05,1.2873645e-05
39.666666666666664,-1.2695921e-05,4.571603e-06
39.77777777777778,-1.0228854e-05,-2.1021813e-06
39.888888888888886,-1.4844604e-05,2.3137488e-06
40.0,-2.3755749e-05,-3.2170558e-07
40.11111111111111,-1.7167948e-05,6.039129e-06
40.22222222222222,-2.4713425e-05,2.6812272e-06
40.33333333333333,-1.603346e-05,2.8585562e-06
40.44444444444444,-1.712793e-05,1.3090727e-05
40.55555555555555,-9.039368e-06,1.0866241e-05
40.666666666666664,-2.169704e-05,3.2369974e-06
40.77777777777778,-1.4344101e-05,-5.151151e-06
40.888888888888886,-2.2256452e-05,-1.2377187e-05
41.0,-1.445648e-05,3.218629e-05
41.11111111111111,-9.763938e-06,1.4652295e-05
41.22222222222222,-8.50813e-06,2.0889047e-05
41.33333333333333,-1.4542029e-05,2.3851921e-06
41.44444444444444,-6.5191853e-06,-8.997905e-06
41.55555555555555,-1.8223232e-05,-4.9213895e-06
41.666666666666664,-1.7966542e-05,1.401382e-05
41.77777777777778,-1.515786e-05,2.5701497e-06
41.888888888888886,-2.2525732e-05,-5.5319733e-06
42.0,-1.6227892e-05,-7.2307253e-06
42.11111111111111,-1.0561056e-05,5.9763884e-06
42.22222222222222,-1.865029e-05,5.37822e-06
42.33333333333333,-8.733165e-06,2.8291222e-05
42.44444444444444,-7.3904475e-06,-3.4006287e-06
42.55555555555555,-1.365985e-05,-1.161447e-05
42.666666666666664,-1.1110105e-05,1.0940519e-05
42.77777777777778,-1.7037162e-05,8.169229e-06
42.888888888888886,-1.418908e-05,1.2020921e-05
43.0,-1.3168695e-05,-1.3518251e-05
43.11111111111111,-2.493488e-05,2.4135326e-07
43.22222222222222,-2.2973276e-05,-2.5501952e-06
43.33333333333333,-1.8514642e-05,-1.9327276e-06
43.44444444444444,-2.0013045e-05,-1.1878564e-05
43.55555555555555,-1.8923682e-05,-6.7211577e-06
43.666666666666664,-2.1432274e-05,2.3886307e-06
43.77777777777778,-1.2682322e-05,4.4885182e-06
43.888888888888886,-1.6963682e-05,8.104894e-06
44.0,-1.666594e-05,4.632523e-06
44.11111111111111,-2.385814e-05,-4.8515485e-06
44.22222222222222,-2.2531776e-05,-2.424786e-06
44.33333333333333,-1.1689266e-05,2.7678123e-05
44.44444444444444,-2.1363927e-05,1.6012202e-06
44.55555555555555,-1.8202414e-05,-7.6683614e-07
44.666666666666664,-2.4693705e-05,-2.95175e-06
44.77777777777778,-2.0147801e-05,5.517198e-06
44.888888888888886,-1.0987377e-05,1.0883323e-05
45.0,-2.3213239e-05,-1.763384e-06
45.11111111111111,-1.6905913e-05,-1.5522604e-05
45.22222222222222,-1.370726e-05,6.2199315e-06
45.33333333333333,-2.101907e-05,4.4409608e-06
45.44444444444444,-1.776944e-05,-1.2628935e-05
45.55555555555555,-1.0139777e-05,1.985742e-06
45.666666666666664,-2.0301906e-05,5.190101e-06
45.77777777777778,-1.4455518e-05,1.626692e-05
45.888888888888886,-2.0431218e-05,7.277414e-06
46.0,-1.9968e-05,3.0549181e-06
46.11111111111111,-2.3103185e-05,-6.9551165e-06
46.22222222222222,-2.9320468e-05,-1.0869146e-05
46.33333333333333,-1.5149891e-05,4.0407785e-06
46.44444444444444,-1.7289103e-05,6.270914e-06
46.55555555555555,-2.171151e-05,9.375957e-06
46.666666666666664,-1.3341718e-05,-2.6114276e-06
46.77777777777778,-1.17336585e-05,1.0496756e-05
46.888888888888886,-7.818816e-06,-1.9426282e-06
47.0,-2.5505722e-05,-2.605512e-05
47.11111111111111,-2.1375077e-05,3.058341e-06
47.22222222222222,-1.3770751e-05,-8.422201e-06
47.33333333333333,-1.3730584e-05,1.1788235e-06
47.44444444444444,-2.0611844e-05,-1.0961143e-05
47.55555555555555,-1.902639e-05,-9.362837e-06
47.666666666666664,-1.8129276e-05,1.0200758e-06
47.77777777777778,-1.9192246e-05,-1.3013968e-07
47.888888888888886,-8.299155e-06,1.2826947e-05
48.0,-1.0682761e-05,1.7681721e-05
48.11111111111111,-1.6846607e-05,3.6650906e-06
48.22222222222222,-1.4397493e-05,2.1333984e-05
48.33333333333333,-2.7326778e-05,-1.0582868e-05
48.44444444444444,-1.1108562e-05,7.6595614e-07
48.55555555555555,-2.0931358e-05,-7.994256e-06
48.666666666666664,-1.7725064e-05,2.345605e-06
48.77777777777778,-2.3486791e-05,-6.9741606e-07
48.888888888888886,-1.9037554e-05,9.253548e-06
49.0,-1.7220784e-05,4.964444e-06
49.11111111111111,-1.3926948e-05,-5.144932e-06
49.22222222222222,-1.4697011e-05,1.6517191e-05
49.33333333333333,-7.873931e-06,1.2716548e-05
49.44444444444444,-1.7744478e-05,-5.3644967e-06
49.55555555555555,-1.9274554e-05,-1.46739285e-05
49.666666666666664,-1.7910967e-05,8.807846e-06
49.77777777777777,-2.7895967e-05,-9.533788e-06
49.888888888888886,-2.4635245e-05,-1.182098e-05
50.0,-1.6932832e-05,-6.918192e-06
50.11111111111111,-2.1432885e-05,-6.3706295e-07
50.22222222222222,-1.9221789e-05,3.5888937e-05
50.33333333333333,-2.1153237e-05,3.9222286e-06
50.44444444444444,-2.5790046e-05,7.785882e-06
50.55555555555555,-2.1480348e-05,1.2854915e-05
50.666666666666664,-2.5601623e-05,-8.795876e-06
50.77777777777777,-1.6698314e-05,1.6370312e-05
